time_ps,z_dist_angstrom,rad_gyration
0.0,-0.20916824475580142,8.935861281913178
100.0,-0.4420380220125324,9.262409053916135
200.0,-0.3650672778363173,9.383931593378756
300.0,0.4072002245749218,8.991424275292758
400.0,0.8715246547472759,8.754220527858731
500.0,0.7439358118512942,8.556682490584176
600.0,0.7275331352610337,8.65400742324173
700.0,-0.839432860908083,8.834637903435667
800.0,-0.05007510839001128,8.477538123908051
900.0,0.24287449437430553,8.663960913602098
1000.0,-0.10868246684273686,8.556987233621415
1100.0,0.2349540692066725,8.55650722046689
1200.0,-0.0362246478081687,8.694333612724545
1300.0,0.025466169812233375,8.55342126968249
1400.0,-0.11829233288605678,8.371384497714255
1500.0,0.4752434184522514,8.387611872994423
1600.0,0.67819097096978,8.507183428593976
1700.0,1.536927200147474,8.54481475395943
1800.0,1.114691196826712,8.539530457178202
1900.0,0.5178692571475949,8.549943979205601
2000.0,-0.10019460443466954,8.506726772218537
2100.0,-0.3082849073156453,8.72828774549645
2200.0,1.106128685567782,8.641140385221348
2300.0,0.8741422643344663,8.722265854230901
2400.0,-1.2313031053767602,8.605230213027603
2500.0,-0.13072105955064472,8.530504869022263
2600.0,0.8363576924869136,8.569329209797457
2700.0,0.22975329575776726,8.575709096341125
2800.0,0.4852404377887609,8.814211543629765
2900.0,1.2984488937920418,8.694590663973598
3000.0,1.2012336384487625,8.84692158361219
3100.0,1.2240802856076414,8.544448333092483
3200.0,1.3983038013609317,8.570063159807452
3300.0,0.01812707829693494,8.672866402184688
3400.0,0.4353906208142888,8.602768552502932
3500.0,0.39882647271591054,8.531803954404626
3600.0,-0.2733831198898997,8.886355051813108
3700.0,1.8368404195766033,8.680357966825154
3800.0,1.1678602935404925,8.851198250354447
3900.0,1.5159613541397405,8.686341882204978
4000.0,0.5052865587825224,8.808152778573167
4100.0,0.40254735021168386,8.698950114517837
4200.0,0.7775740307795331,8.576965521539089
4300.0,0.7284646381473365,8.599235191203581
4400.0,0.7059467597311411,8.777442407233135
4500.0,0.38991350668126046,8.717171302380542
4600.0,0.40737846457031424,8.676397415410074
4700.0,0.40350193711348936,8.759976903123459
4800.0,-0.14208743612566366,8.588320638776771
4900.0,0.41734362947791226,8.799258477646138
5000.0,0.5324349781491762,8.700065088166538
5100.0,-0.3184704364993678,8.669895636456083
5200.0,-0.46812824879906145,8.685273160048649
5300.0,0.21322983665328366,8.781361775492346
5400.0,0.9324177502662181,8.963328609376218
5500.0,1.6523042720698982,8.960702684229842
5600.0,1.7387590408353333,8.608154704906955
5700.0,1.6420578760785105,8.550045444383201
5800.0,0.9438795287622241,8.599018982954785
5900.0,0.18529538093805797,8.59588423852438
6000.0,0.9441009877325968,8.783895805671591
6100.0,0.3366038662089679,8.714413580787316
6200.0,1.4894275790463212,8.899959867081924
6300.0,1.1722689960088815,8.72386726037696
6400.0,1.0190002910915084,8.711214371189849
6500.0,1.4658513893234186,8.72152121387496
6600.0,1.8082280793984822,8.836164184966904
6700.0,0.958695178628453,8.726216425455057
6800.0,0.8691156981106971,8.961466047307155
6900.0,1.344108755732364,8.965879974198305
7000.0,1.7670700037294012,8.531783974086828
7100.0,2.3243927076611755,8.908681902118884
7200.0,2.091715421076252,8.855693278271946
7300.0,0.7700133477326148,8.991435689329002
7400.0,1.5406830220368803,8.88351153046265
7500.0,1.501461127899752,8.875202151881707
7600.0,1.749893684762263,8.813172391716583
7700.0,2.127349724258252,9.183945361810656
7800.0,1.0984661740674184,8.829511257090585
7900.0,1.3543634146429326,9.048711202351775
8000.0,1.7354308288374583,9.229024860594789
8100.0,2.5752595104358846,9.13725002217322
8200.0,2.316621238177653,9.079848363217815
8300.0,2.050182646611539,9.03745873225921
8400.0,2.7219531305647706,9.221820804232747
8500.0,1.797460942575448,8.97850494364898
8600.0,1.5173158105471742,9.078854690725514
8700.0,1.3683472780847836,8.990312213530125
8800.0,1.1023058784139153,8.751470990248862
8900.0,0.35176317787835387,9.016684682007654
9000.0,0.239449183852237,9.092356093163152
9100.0,-0.09454161595346733,8.981450527952099
9200.0,-1.12465437913864,9.235448424836125
9300.0,-0.14998599047717676,9.080865598881925
9400.0,-0.3823838584825765,8.948480608774592
9500.0,-0.09407237677006464,8.764257118279037
9600.0,-0.197707699075508,8.988964315820645
9700.0,0.37550963019663186,9.021192483583333
9800.0,0.34696187000490397,8.96253805509744
9900.0,0.7173631119488277,9.012541607934368
10000.0,-0.0343436063369964,8.725867006414079
